parent_dir,primary_bin,media_type,old_name,created_year,created_month,created_day,created_hour,created_minute,created_second,parsed_year,parsed_month,parsed_day,parsed_counter,pre_name,post_name,descriptor,day_match,ext,new_name,old_path,new_path
McGill-Pictures,McGill,Picture,McGill-2014-05|03-Visit_to_Boston-15.jpg,2014,5,4,14,55,6,2014,5,3,15,McGill-2014-05|03,15.jpg,Visit_to_Boston,-Visit_to_Boston,.jpg,McGill-2014-05-03 00.00.15-Visit_to_Boston.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05|03-Visit_to_Boston-15.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05-03 00.00.15-Visit_to_Boston.jpg
McGill-Pictures,McGill,Picture,McGill-2014-05|03-Visit_to_Boston-29.jpg,2014,5,4,17,2,25,2014,5,3,29,McGill-2014-05|03,29.jpg,Visit_to_Boston,-Visit_to_Boston,.jpg,McGill-2014-05-03 00.00.29-Visit_to_Boston.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05|03-Visit_to_Boston-29.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05-03 00.00.29-Visit_to_Boston.jpg
McGill-Pictures,McGill,Picture,McGill-2012-02|12-6.JPG,2012,2,12,12,30,38,2012,2,12,6,McGill-2012-02|12,6.JPG,,,.JPG,McGill-2012-02-12 12.30.38.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-02|12-6.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-02-12 12.30.38.jpg
McGill-Pictures,McGill,Picture,McGill-2014-05|03-Visit_to_Boston-8.jpg,2014,5,4,14,14,0,2014,5,3,8,McGill-2014-05|03,8.jpg,Visit_to_Boston,-Visit_to_Boston,.jpg,McGill-2014-05-03 00.00.08-Visit_to_Boston.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05|03-Visit_to_Boston-8.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05-03 00.00.08-Visit_to_Boston.jpg
McGill-Pictures,McGill,Picture,McGill-2014-11|02-Katie_Dinner-9.jpg,2014,11,2,21,35,43,2014,11,2,9,McGill-2014-11|02,9.jpg,Katie_Dinner,-Katie_Dinner,.jpg,McGill-2014-11-02 21.35.43-Katie_Dinner-9.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-11|02-Katie_Dinner-9.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-11-02 21.35.43-Katie_Dinner-9.jpg
McGill-Pictures,McGill,Picture,McGill-2012-05|17-Orford-1.JPG,2013,5,16,22,40,38,2012,5,17,1,McGill-2012-05|17,1.JPG,Orford,-Orford,.JPG,McGill-2012-05-17 00.00.01-Orford.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05|17-Orford-1.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05-17 00.00.01-Orford.jpg
McGill-Pictures,McGill,Picture,McGill-2014-11|02-Katie_Dinner-8.jpg,2014,11,2,21,35,43,2014,11,2,8,McGill-2014-11|02,8.jpg,Katie_Dinner,-Katie_Dinner,.jpg,McGill-2014-11-02 21.35.43-Katie_Dinner-8.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-11|02-Katie_Dinner-8.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-11-02 21.35.43-Katie_Dinner-8.jpg
McGill-Pictures,McGill,Picture,McGill-2014-05|03-Visit_to_Boston-9.jpg,2014,5,4,14,14,5,2014,5,3,9,McGill-2014-05|03,9.jpg,Visit_to_Boston,-Visit_to_Boston,.jpg,McGill-2014-05-03 00.00.09-Visit_to_Boston.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05|03-Visit_to_Boston-9.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05-03 00.00.09-Visit_to_Boston.jpg
McGill-Pictures,McGill,Picture,McGill-2012-02|12-7.JPG,2012,2,12,15,53,54,2012,2,12,7,McGill-2012-02|12,7.JPG,,,.JPG,McGill-2012-02-12 15.53.54.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-02|12-7.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-02-12 15.53.54.jpg
McGill-Pictures,McGill,Picture,McGill-2014-05|03-Visit_to_Boston-28.jpg,2014,5,4,17,2,20,2014,5,3,28,McGill-2014-05|03,28.jpg,Visit_to_Boston,-Visit_to_Boston,.jpg,McGill-2014-05-03 00.00.28-Visit_to_Boston.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05|03-Visit_to_Boston-28.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05-03 00.00.28-Visit_to_Boston.jpg
McGill-Pictures,McGill,Picture,McGill-2014-05|03-Visit_to_Boston-14.jpg,2014,5,4,14,47,5,2014,5,3,14,McGill-2014-05|03,14.jpg,Visit_to_Boston,-Visit_to_Boston,.jpg,McGill-2014-05-03 00.00.14-Visit_to_Boston.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05|03-Visit_to_Boston-14.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05-03 00.00.14-Visit_to_Boston.jpg
McGill-Pictures,McGill,Picture,McGill-2012-05|17-Orford-45.JPG,2013,5,17,0,55,35,2012,5,17,45,McGill-2012-05|17,45.JPG,Orford,-Orford,.JPG,McGill-2012-05-17 00.00.45-Orford.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05|17-Orford-45.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05-17 00.00.45-Orford.jpg
McGill-Pictures,McGill,Picture,McGill-2015-03|17-Mackenzie_Visits-Ice_Sculpture-4.jpg,2015,3,19,15,45,5,2015,3,17,4,McGill-2015-03|17,4.jpg,Mackenzie_Visits-Ice_Sculpture,-Mackenzie_Visits-Ice_Sculpture,.jpg,McGill-2015-03-17 00.00.04-Mackenzie_Visits-Ice_Sculpture.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2015-03|17-Mackenzie_Visits-Ice_Sculpture-4.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2015-03-17 00.00.04-Mackenzie_Visits-Ice_Sculpture.jpg
