Year,Area,V Grade,Days,Sessions,Distinct Boulders,Completed,Flashed,Total Attempts,Total Minutes,Completion Rate,Success Rate,Flash Rate,Bounty Extra Soft,Soft,Hard,FA
2009,All Areas,1.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2008,All Areas,All Grades,2,2,2,2,1,11,46,1.000,1.000,0.500,0,1,0,0
2008,All Areas,4.0,2,2,2,2,1,11,46,1.000,1.000,0.500,0,1,0,0
All-Time,Berkeley,All Grades,6,19,16,15,3,173,803,0.938,0.789,0.188,0,3,1,0
All-Time,Berkeley,9.0,1,2,1,1,0,30,120,1.000,0.500,0.000,0,1,0,0
All-Time,Berkeley,8.0,3,6,4,3,0,75,330,0.750,0.500,0.000,0,0,1,0
All-Time,Berkeley,7.0,1,2,2,2,0,20,120,1.000,1.000,0.000,0,0,0,0
All-Time,Berkeley,6.0,2,3,3,3,1,16,91,1.000,1.000,0.333,0,1,0,0
All-Time,Berkeley,5.0,2,2,2,2,0,25,120,1.000,1.000,0.000,0,1,0,0
All-Time,Berkeley,4.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
All-Time,Berkeley,3.0,1,1,1,1,0,3,15,1.000,1.000,0.000,0,0,0,0
All-Time,Berkeley,2.0,1,1,1,1,0,2,5,1.000,1.000,0.000,0,0,0,0
All-Time,Berkeley,1.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2011,Berkeley,All Grades,2,11,8,8,2,119,517,1.000,0.727,0.250,0,1,1,0
2011,Berkeley,9.0,1,2,1,1,0,30,120,1.000,0.500,0.000,0,1,0,0
2011,Berkeley,8.0,2,5,3,3,0,65,300,1.000,0.600,0.000,0,0,1,0
2011,Berkeley,5.0,1,1,1,1,0,20,90,1.000,1.000,0.000,0,0,0,0
2011,Berkeley,4.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2011,Berkeley,2.0,1,1,1,1,0,2,5,1.000,1.000,0.000,0,0,0,0
2011,Berkeley,1.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2010,Berkeley,All Grades,4,8,8,7,1,54,286,0.875,0.875,0.125,0,2,0,0
2010,Berkeley,8.0,1,1,1,0,0,10,30,0.000,0.000,0.000,0,0,0,0
2010,Berkeley,7.0,1,2,2,2,0,20,120,1.000,1.000,0.000,0,0,0,0
2010,Berkeley,6.0,2,3,3,3,1,16,91,1.000,1.000,0.333,0,1,0,0
2010,Berkeley,5.0,1,1,1,1,0,5,30,1.000,1.000,0.000,0,1,0,0
2010,Berkeley,3.0,1,1,1,1,0,3,15,1.000,1.000,0.000,0,0,0,0
All-Time,Bishop,All Grades,19,55,49,33,12,327,1534,0.673,0.600,0.245,0,2,4,0
All-Time,Bishop,9.0,5,5,4,1,0,78,305,0.250,0.200,0.000,0,1,0,0
All-Time,Bishop,8.0,2,5,4,0,0,55,250,0.000,0.000,0.000,0,0,0,0
All-Time,Bishop,7.0,6,6,5,3,0,38,220,0.600,0.500,0.000,0,1,0,0
All-Time,Bishop,6.0,7,12,9,5,1,75,378,0.556,0.417,0.111,0,0,0,0
All-Time,Bishop,5.0,5,7,7,5,1,42,246,0.714,0.714,0.143,0,0,1,0
