superAdjFV_rnk,adjFV_rnk,avgFV_rnk,ofpFV_rnk,superAdj_FV,adj_FV,avg_FV,ofp_FV,PV,FV,*BIO*,fnames,lnames,year,age,position,bats,throws,height,weight,p_type,FV_pts,FV_weight,*IDs*,prospect_id,mlb_id,mlb_draft_id,fg_major_id,fg_minor_id,*FG*,FGOvrRnk,FG_DraftRank,FG_OrgRank,FG_DraftPick,FGSchool,FG_Level,FG_Signed,FG_Team,FG_Athleticism,FG_Performer,FG_Risk,FG_Variance,FG_ETA,FG_FV,FG_Video,FG_ShortBlurb,FG_Blurb,*mlb*,MLB_School,MLB_Team,MLB_Drafted,MLB_Signed,MLB_ETA,MLB_FV,MLB_Blurb,*mi*,mi_team,mi_teamRank,mi_grade,mi_eta,mi_FV,*MLB_PRO*,MLB_OrgRank,MLB_OvrRank,*MLB_DRAFT*,MLB_Grade,MLB_Commit,*OFP*,FG_Hitters_pOFP,FG_Hitters_fOFP,MLB_Hitters_OFP,FG_Pitchers_pOFP,FG_Pitchers_fOFP,MLB_Pitchers_OFP,*BONUS_OFP*,MaxVelo_Bonus,FastballRPM_Bonus,BreakingRPM_Bonus,Athleticism_Bonus,Performance_Bonus,Trend_Bonus,*FG_HIT*,Hit_present,GamePower_present,RawPower_present,Speed_present,Field_present,Throws_present,Hit_future,GamePower_future,RawPower_future,Speed_future,Field_future,Throws_future,*FG_PITCH*,TJ_Date,Fastball_RPM,Breaking_RPM,Command_present,Fastball_present,Changeup_present,Curveball_present,Slider_present,Cutter_present,Splitter_present,Command_future,Fastball_future,Changeup_future,Curveball_future,Slider_future,Cutter_future,Splitter_future,*MLB_HIT*,hit,power,run,arm,field,*MLB_PITCH*,fastball,change,curve,slider,cutter,splitter,other,control,NSBL_Team,NSBL_Salary,NSBL_Year
700,631,499,499,"""41.5""","""41.9""","""40.0""","""49.8""","""31.8""","""51.4""","""|""","""Antoni""","""Flores""",2020,"""19.6""","""SS""","""R""","""R""","""73""","""190""","""professional""",160,4,"""|""",1958,677602,,,"""sa3005489""","""|""",,,17,,"""Venezuela""","""A-""",,"""BOS""",,,,,2023,40,"""md2-SgDDngQ""",,"""Flores was the star of last fall's instructional league in Florida and looked like a potential everyday player in the Willy Adames mold. He skipped the GCL last year and flopped in the Penn League, his body backed up a little bit, and he generally looked less explosive and twitchy. We shaded his FV down a half grade, and consider it more of a developmental bump than the start of a trend right now.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""31.8""","""51.4""",,,,,"""|""",,,,,,0.0,"""|""",20,20,45,50,45,60,50,50,55,45,55,60,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,"""CHC""",0.500,"""XXX"""
701,497,500,447,"""41.5""","""42.8""","""40.0""","""50.2""","""47.3""","""50.5""","""|""","""Trey""","""Supak""",2020,"""24.0""","""RHP""","""R""","""R""","""77""","""235""","""professional""",160,4,"""|""",738,657022,"""supak_trey""",,"""sa828707""","""|""",,,25,,"""La Grange HS (TX)""",,,"""MIL""",-1,,,,2020,40,,,"""Supak is a strike-throwing backend starter who has now had success up through Double-A. His velocity was down a bit last year but his fastball has a lot of spin for how slow it is, as well as other traits that bolster it. He's a bigger-bodied guy whose athletic longevity is a question.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""47.3""","""50.5""",,"""|""",0.0000,0.0000,,-1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2300,,50,40,50,50,,45,,55,40,55,50,,50,,"""|""",,,,,,"""|""",,,,,,,,,,,
702,882,935,524,"""41.4""","""39.8""","""37.0""","""49.5""","""34.5""","""50.9""","""|""","""Grant""","""McCray""",2020,"""19.5""","""CF""","""L""","""R""","""73""","""175""","""professional""",148,4,"""|""",2998,687529,,,"""sa3010042""","""|""",,,31,,"""Lakewood Ranch HS (FL)""","""R""",,"""SFG""",2,,,,2024,37,,,"""McCray still has work to do from a stride length and swing timing perspective, but he got much stronger in the last year, and did so while retaining his plus speed. Perhaps most surprisingly, he tracked pitches very well over his pro debut and he has promising feel for contact. Again though, the swing needs refinement for the physical tools to actualize.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""34.5""","""50.9""",,,,,"""|""",,,,2.0,,0.0,"""|""",25,20,45,60,45,50,55,40,50,60,50,55,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
703,820,936,628,"""41.4""","""40.2""","""37.0""","""48.7""","""46.1""","""48.9""","""|""","""Durbin""","""Feltman""",2020,"""23.1""","""RHP""","""R""","""R""","""73""","""190""","""professional""",148,4,"""|""",2479,664687,"""feltman_durbin""",,"""sa3007959""","""|""",,,28,,"""TCU""","""AA""",,"""BOS""",1,,,,2020,37,"""l9o5I-rLP60""",,"""We tabbed Feltman as the player Most Likely to Be First to the Majors from the 2018 draft class. He spent his entire first full pro season at Double-A missing bats but also missing locations -- a lot -- and his velocity was down a little bit. The fastball still has bat-missing traits, but unless there's a rebound, Feltman is more likely to be a middle reliever than a late-inning arm.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""46.1""","""48.9""",,"""|""",0.5000,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2300,2350,35,60,40,,55,,,40,60,45,,55,,,"""|""",,,,,,"""|""",,,,,,,,,,,
704,795,937,508,"""41.4""","""40.5""","""37.0""","""49.7""","""46.4""","""50.0""","""|""","""Cody""","""Carroll""",2020,"""27.6""","""RHP""","""R""","""R""","""77""","""210""","""professional""",148,4,"""|""",2224,606944,,17664,"""sa875338""","""|""",,,29,,"""Southern Mississippi""","""MLB""",,"""BAL""",,,,,2020,37,,,"""Carroll seemed like a sure bet to spend most of 2019 in the big leagues, but a slipped disc that was pinching a nerve in his left leg shelved him all summer. He made two, single-inning August rehab appearances in the GCL (a hurricane wreaked havoc on the last couple weeks of games in Florida) and then went to the Fall League, where he threw an inning every three or four days. He sat 94-97 with inconsistent slider quality and control.  ""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""46.4""","""50.0""",,"""|""",1.2500,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",0001-01-11,2300,2650,35,60,,,50,,,40,60,,,55,,,"""|""",,,,,,"""|""",,,,,,,,,,,
705,748,938,322,"""41.4""","""41.0""","""37.0""","""51.3""","""50.0""","""51.4""","""|""","""Will""","""Vest""",2020,"""25.0""","""RHP""","""R""","""R""","""72""","""180""","""professional""",148,4,"""|""",3331,,,,"""sa3004101""","""|""",,,36,,"""Stephen F. Austin""","""AAA""",,"""DET""",,,,,2020,37,,,"""He doesn't have sleeves (which is the nature of the garment) but Vest still does a good job hiding the ball from hitters. His deceptive, overhand delivery looks like a trebuchet and creates late carry on his fastball, which sat 94 and touched 97 during the season, but was 91-93 in Eric's Fall league looks. His secondary stuff is more average, so it's important the velo returns.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""50.0""","""51.4""",,"""|""",0.7500,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2200,2350,50,50,,50,,,,50,55,,50,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
706,749,939,281,"""41.4""","""41.0""","""37.0""","""51.8""","""47.8""","""52.2""","""|""","""Kyle""","""Funkhouser""",2020,"""26.2""","""RHP""","""R""","""R""","""74""","""220""","""professional""",148,4,"""|""",1260,608335,"""funkhouser_kyle""",,"""sa827397""","""|""",,,29,,"""Louisville""",,,"""DET""",,,,,2020,37,"""j-b1ZwTMYNY""",,"""Funkhouser was added to Detroit's 40-man despite more injury and erratic performance in 2019. At times he'll show three above-average pitches; at others he can't get anyone out. He hasn't thrown more than 100 innings in any pro season, and at this point he's considered a relief prospect with a long track record of injury.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""47.8""","""52.2""",,"""|""",0.7500,,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,,2350,40,55,45,,55,,,50,55,50,,55,,,"""|""",,,,,,"""|""",,,,,,,,,"""OAK""",0.500,"""XXX"""
707,685,490,882,"""41.4""","""41.5""","""40.0""","""45.4""","""44.5""","""45.5""","""|""","""LaMonte""","""Wade""",2020,"""26.4""","""LF""","""L""","""L""","""73""","""205""","""professional""",160,4,"""|""",1908,664774,,18126,"""sa856280""","""|""",,,27,,"""Maryland""",,,"""MIN""",,,,,2020,40,"""w86AnjtVGWk""",,"""Wade intrigues as the larger half of a corner outfield platoon. He's not exactly tooled up, but he walks a lot -- more than he strikes out against right-handed pitchers, in fact -- and he'll make up for some of what he lacks in power with rangy, corner outfield defense. It's not spectacular, but there's a clear role here.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""44.5""","""45.5""",,,,,"""|""",,,,,,0.0,"""|""",45,30,45,50,55,40,45,35,45,50,55,40,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,"""STL""",0.500,"""XXX"""
708,674,491,784,"""41.4""","""41.6""","""40.0""","""47.1""","""40.0""","""47.7""","""|""","""Will""","""Banfield""",2020,"""20.5""","""C""","""R""","""R""","""73""","""200""","""professional""",160,4,"""|""",2462,677943,"""banfield_will""",,"""sa3007973""","""|""",,,23,,"""Brookwood HS (GA)""","""A""",,"""MIA""",,,,,2023,40,"""KI7Z1Rzt2UM""",,"""Banfield continues to track like an Austin Hedges-type of big leaguer: great defense, and pull power he might sufficiently tap into during games to profile as a low-end regular. More likely, he's a glove-first backup.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""40.0""","""47.7""",,,,,"""|""",,,,,,0.0,"""|""",30,35,55,50,45,60,40,50,55,45,55,60,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
709,665,492,595,"""41.4""","""41.7""","""40.0""","""49.0""","""32.3""","""50.5""","""|""","""Jamari""","""Baylor""",2020,"""19.8""","""2B""","""R""","""R""","""71""","""193""","""professional""",160,4,"""|""",2889,687072,"""baylor_jamari""",,"""sa3011446""","""|""",,,13,,"""Benedictine HS (VA)""",,,"""PHI""",,,,,2024,40,,,"""Baylor's ability to rotate with ferocity took a leap sometime between PG National and his senior spring. Teams were not in agreement about where he fit defensively, and some bailed on him entirely early in the process because he didn't look great with the bat during his pre-draft summer, perhaps due to a lingering arm injury. He went bonkers as a senior, not just clubbing bad pitching but looking more explosive to the eye. He has a shot to stay up the middle, most likely second base, and hit enough to profile there.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""32.3""","""50.5""",,,,,"""|""",,,,,,0.0,"""|""",20,20,50,55,40,50,50,45,55,55,50,55,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
710,647,493,582,"""41.4""","""41.8""","""40.0""","""49.1""","""33.2""","""50.5""","""|""","""Jose""","""Rodriguez""",2020,"""18.7""","""SS""","""R""","""R""","""71""","""175""","""professional""",160,4,"""|""",3236,,,,"""sa3008753""","""|""",,,18,,"""Dominican Republic""","""R""",,"""CHW""",,,,,2023,40,,,"""Compact but punchy, Rodriguez has an interesting mix of playable power, speed, and defensive fit. His frame limits the power projection more than is typical for an 18-year-old, but he also has pretty advanced feel to hit. He has a shot to be a well-rounded regular.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""33.2""","""50.5""",,,,,"""|""",,,,,,0.0,"""|""",25,20,45,55,40,50,55,40,50,55,50,50,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
711,648,494,554,"""41.4""","""41.8""","""40.0""","""49.3""","""32.3""","""50.9""","""|""","""Jose""","""De La Cruz""",2020,"""18.4""","""RF""","""R""","""R""","""73""","""205""","""professional""",160,4,"""|""",2326,,,,"""sa3008747""","""|""",,,16,,"""Dominican Republic""",,,"""DET""",,,,,2024,40,,,"""De la Cruz has a right field prospect toolkit straight out of central casting -- plus raw power, plus arm, average underway speed, contact issues at present -- and a year of DSL statistical performance arguably derived from his physical maturity. His Trackman data is very strong, especially for his age. He could be a middle of the order power bat, but he's years away.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""32.3""","""50.9""",,,,,"""|""",,,,,,0.0,"""|""",20,25,50,45,40,60,50,55,60,30,50,60,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
712,903,929,696,"""41.3""","""39.6""","""37.0""","""48.1""","""37.3""","""49.1""","""|""","""Lamar""","""Sparks""",2020,"""21.7""","""CF""","""R""","""R""","""74""","""170""","""professional""",148,4,"""|""",2282,676473,,,"""sa3004932""","""|""",,,32,,"""Seven Lakes HS (TX)""","""R""",,"""BAL""",2,,,,2022,37,,,"""Sparks has only been healthy enough to play about 70 games in parts of three pro seasons, but he has major league ingredients. His frame, twitch, speed, arm strength and, shockingly, exit velos, are all of big league quality; we just know very little about the hit tool and power actualization because of his lack of reps. This is a two-year evaluation window for Baltimore because Sparks has to go on the 40-man two Decembers from now. Come June, he will have spent three years on the complex, and the track record for players who have done that is very  poor. If the Orioles like him, they have to hit the gas on his development at some point, whether that's a cup of coffee at Low-A late this year or a quick hook to Hi-A in 2021.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""37.3""","""49.1""",,,,,"""|""",,,,2.0,,0.0,"""|""",30,30,45,60,40,60,50,35,50,60,55,60,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
713,831,930,662,"""41.3""","""40.1""","""37.0""","""48.4""","""45.9""","""48.6""","""|""","""Jeremy""","""Walker""",2020,"""25.0""","""RHP""","""R""","""R""","""77""","""205""","""professional""",148,4,"""|""",3207,,,19981,"""sa917990""","""|""",,,19,,"""Gardner-Webb""","""MLB""",,"""ATL""",1,,,,2019,37,"""yBx98YOMvO8""",,"""Walker is a big, athletic kid who's always had an above average sinker that got into the mid-90s deep into games, along with two good breaking balls and control. But his command, changeup, and the optimization of his tools kept him from reaching his potential as a starter. In 2019, the Braves moved him to the bullpen, and things went well, leading to a late-season cup of coffee. Walker leaned into the heavy sinker and the curveball and found something that works for him. The role is a groundball middle reliever who could also be a long man who goes multiple innings, but the upside is basically just a 40 FV if he gets there.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""45.9""","""48.6""",,"""|""",0.5000,0.0000,,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2250,,45,55,40,45,45,,,45,55,45,50,50,,,"""|""",,,,,,"""|""",,,,,,,,,,,
714,819,931,418,"""41.3""","""40.2""","""37.0""","""50.4""","""39.3""","""51.4""","""|""","""Trevor""","""McDonald""",2020,"""19.3""","""RHP""","""R""","""R""","""74""","""180""","""professional""",148,4,"""|""",2908,686790,"""mcdonald_trevor""",,,"""|""",,,30,,"""George County HS (MS)""","""R""",,"""SFG""",1,,,,2024,37,,,"""McDonald was a pop-up prep arm from rural Mississippi, almost smack in the middle of the triangle created by the highways that connect Biloxi, Hattiesburg, and Mobile. Every team saw him up to 96 with a good, two-plane breaking ball but had very different projections on how the stuff and body would mature. Those who like him thought his feel for spin could be parlayed into multiple weapons, while others saw a likely reliever with just fair physical projection.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""39.3""","""51.4""",,"""|""",0.5000,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2200,2350,35,40,,,45,,,50,50,,,55,,,"""|""",,,,,,"""|""",,,,,,,,,,,
715,794,932,471,"""41.3""","""40.5""","""37.0""","""50.0""","""45.0""","""50.5""","""|""","""Andre""","""Pallante""",2020,"""21.7""","""RHP""","""R""","""R""","""72""","""203""","""professional""",148,4,"""|""",2870,669467,"""pallante_andre""",,"""sa3011186""","""|""",,,25,,"""UC Irvine""",,,"""STL""",1,,,,2023,37,,,"""Pallante was young for a college draftee (just 20 on draft day), and had a strong, two-year track record of starting at Irvine. He threw on the Cape and for Team USA, so he'd been seen by most everyone and wasn't subject to the anti-small school bias. He has four pitches, including two quality breaking balls and a fastball that might play a little better than its velocity. He has a backend shot.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""45.0""","""50.5""",,"""|""",0.2500,0.0000,,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2150,,45,40,40,50,50,,,55,45,45,50,55,,,"""|""",,,,,,"""|""",,,,,,,,,,,
716,725,933,207,"""41.3""","""41.2""","""37.0""","""52.5""","""48.9""","""52.8""","""|""","""Garrett""","""Whitlock""",2020,"""24.0""","""RHP""","""R""","""R""","""77""","""190""","""professional""",148,4,"""|""",2595,676477,,,"""sa3005306""","""|""",,,41,,"""UAB""","""AA""",,"""NYY""",,,,,2021,37,"""ZmiA8bxF8v0""",,"""The Yankees moved Whitlock up the ladder very quickly in 2018, and he looked like a soon-to-be backend starter or swingman sort based on his ability to locate an average sinker/slider/changeup mix. Then he blew out his UCL in the middle of last summer and had surgery. Whitlock began throwing in January but will miss most (if not all) of 2020 and is likely on track to compete for a spot on the staff in 2021, when he'll be nearly 25.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""48.9""","""52.8""",,"""|""",0.5000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2250,2050,50,50,45,,50,,,55,50,50,,55,,,"""|""",,,,,,"""|""",,,,,,,,,,,
717,683,486,820,"""41.3""","""41.5""","""40.0""","""46.6""","""39.1""","""47.3""","""|""","""Yunior""","""Severino""",2020,"""20.7""","""2B""","""S""","""R""","""73""","""190""","""professional""",160,4,"""|""",1587,670870,,,"""sa3003185""","""|""",,,19,,"""Dominican Republic""","""A""",,"""MIN""",,,,,2023,40,"""loRx-qNixVg""",,"""We have Severino projected as a three-true-outcomes middle infielder  la Rickie Weeks, or peak Mark Bellhorn and Dan Uggla. He's a bulky (especially for 20) switch-hitter who takes giant, uppercut rips. He missed much of 2019 due to a thumb fracture (he suffered torn ligaments, as well), so he may start 2020 back at Cedar Rapids and need to perform to be promoted. The power/middle infield combo gives him ceiling, while the strikeouts and rapidly maturing frame also make him quite risky.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""39.1""","""47.3""",,,,,"""|""",,,,,,0.0,"""|""",30,35,55,50,40,50,40,50,60,50,45,50,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
718,684,487,769,"""41.3""","""41.5""","""40.0""","""47.2""","""36.4""","""48.2""","""|""","""Ricardo""","""Genoves""",2020,"""21.1""","""C""","""R""","""R""","""74""","""210""","""professional""",160,4,"""|""",2997,665648,,,"""sa916844""","""|""",,,21,,"""Venezuela""","""A""",,"""SFG""",,,,,2021,40,,,"""Genoves is Rule 5 eligible but probably too undercooked to be selected. Built like one of the Moai sculptures on Easter Island, Genoves may not have the mobility to catch long term. But he has a plus arm, he's procedurally advanced for a 20-year-old, and he has the leadership qualities and intangibles that have an outsized impact at catcher. Plus, some of his mobility issues might soon be rendered moot by the existence of electronic strike zones. He also has plus power, enough to put balls out to right center, though Genoves' current pull-happy approach doesn't facilitate many homers out there.   This is a somewhat speculative ranking based on what the future of the position may hold. On tools Genoves has a shot to be a regular, though a backup role is probably more likely.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""36.4""","""48.2""",,,,,"""|""",,,,,,0.0,"""|""",30,30,55,20,45,60,50,45,60,20,50,60,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
719,673,488,750,"""41.3""","""41.6""","""40.0""","""47.5""","""35.9""","""48.6""","""|""","""Jose""","""Fermin""",2020,"""21.2""","""SS""","""R""","""R""","""71""","""160""","""professional""",160,4,"""|""",3122,,,,"""sa917339""","""|""",,,26,,"""Dominican Republic""",,,"""CLE""",,,,,2023,40,,,"""Fermin had the eighth-lowest swinging strike rate in the minors last year, a measly 4%. He has a minimalistic swing and excellent hand-eye coordination, which have enabled him to run about an 8.5% strikeout rate the last two seasons. He's also a capable defensive shortstop. Players like this often outperform eyeball-only evaluations and, heuristically, a hitter like this with almost elite bat-to-ball skills who also plays a premium position typically ends up in a higher FV tier than this. But in Fermin's case, I think he lacks the power on contact to be an everyday player. I realize those can be famous last words when it comes to a profile like this one, but in this case I think the power is limiting and I have a low-variance bench infield grade on Fermin.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""35.9""","""48.6""",,,,,"""|""",,,,,,0.0,"""|""",35,20,30,55,50,55,60,30,35,55,55,55,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
720,646,934,50,"""41.3""","""41.8""","""37.0""","""55.3""","""46.7""","""56.1""","""|""","""Sam""","""Carlson""",2020,"""21.5""","""RHP""","""R""","""R""","""76""","""195""","""professional""",148,4,"""|""",1975,672277,"""carlson_sam""",,"""sa3005015""","""|""",,,35,,"""Burnsville HS (MN)""","""A""",,"""SEA""",,,,,2022,37,"""PK5O-3F8YyM""",,"""We're still collectively waiting for Carlson to pitch coming off of Tommy John. At his prep peak, he was into the mid-90s with a good changeup and more strikes than is typical for such a hard-throwing, cold-weather prospect.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""46.7""","""56.1""",,"""|""",0.0000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2200,2350,40,55,50,45,,,,55,60,60,50,,,,"""|""",,,,,,"""|""",,,,,,,,,"""CHC""",0.500,"""XXX"""
721,538,489,606,"""41.3""","""42.5""","""40.0""","""48.9""","""48.9""","""48.9""","""|""","""Jovani""","""Moran""",2020,"""23.1""","""LHP""","""L""","""L""","""73""","""180""","""professional""",160,4,"""|""",3077,,,,"""sa875188""","""|""",,,34,,"""Carlos Beltran Academy HS (PR)""","""AA""",,"""MIN""",-1,,,,2020,40,,,"""Moran has a dominant out-pitch changeup, though the rest of his profile is pretty vanilla. His body and control backed up in 2019, but he remains a likely relief piece.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""48.9""","""48.9""",,"""|""",0.0000,0.0000,0.0000,-1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2300,2475,40,45,70,,45,,,40,45,70,,45,,,"""|""",,,,,,"""|""",,,,,,,,,,,
722,854,923,661,"""41.2""","""40.0""","""37.0""","""48.4""","""43.3""","""48.9""","""|""","""Andrew""","""Schultz""",2020,"""22.8""","""RHP""","""R""","""R""","""76""","""195""","""professional""",148,4,"""|""",2883,,"""schultz_andrew""",,"""sa3010782""","""|""",,,30,,"""Tennessee""","""A""",,"""PHI""",,,,,2022,37,,,"""Schultz is the hardest throwing pitcher in this entire system, sitting 96-99 in his post-draft outings after he touched 101 at Tennessee. He walked a batter per inning in college and has a very long, tough-to-repeat arm action that affects his control and slider quality. He has late-inning arm strength but needs to find mechanical consistency to be anything at all.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""43.3""","""48.9""",,"""|""",1.5000,0.0000,,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2450,,30,70,35,,45,,,40,70,40,,50,,,"""|""",,,,,,"""|""",,,,,,,,,,,
723,785,924,446,"""41.2""","""40.6""","""37.0""","""50.2""","""47.3""","""50.5""","""|""","""Patrick""","""Weigel""",2020,"""25.9""","""RHP""","""R""","""R""","""78""","""230""","""professional""",148,4,"""|""",917,622256,"""weigel_patrick""",,"""sa829466""","""|""",,,25,,"""Houston""",,,"""ATL""",,,,,2019,37,"""83Zfm-ph2Wo""",,"""Weigel had made tons of progress through college and the low minors, and was on track to possibly be a big league starter (or a late-inning reliever if the command didn't come) until he needed Tommy John as he got to Triple-A in 2017. Late in 2018 and in instructional league, he returned with velo that peaked in the mid-90's, but he wasn't all the way back yet. The Braves added him to the 40-man anyway, expecting his stuff to return and by the end of 2019, it had.   Weigel's velo is back to pre-surgery levels, sitting 95 and hitting 99. His slider is above average while his curveball and changeup flash average and his command is fringy. He was best when in relief in Triple-A late in the year, and is likely a big league middle reliever with a little more in his toolbox than the average two-pitch bull in a china shop.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""47.3""","""50.5""",,"""|""",0.7500,0.0000,0.1667,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2350,2750,40,55,45,45,55,,,45,55,50,50,55,,,"""|""",,,,,,"""|""",,,,,,,,,"""PIT""",0.500,"""XXX"""
724,786,925,347,"""41.2""","""40.6""","""37.0""","""51.1""","""43.9""","""51.7""","""|""","""Tyler""","""Owens""",2020,"""19.4""","""RHP""","""R""","""R""","""68""","""185""","""professional""",148,4,"""|""",2924,687074,"""owens_tyler""",,"""sa3011201""","""|""",,,27,,"""Trinity Catholic HS (FL)""","""R""",,"""ATL""",,,,,2023,37,,,"""Owens was a smallish righty who looked likely to be a valuable college utility arm for Florida (up to 95, solid average breaking ball, some feel) until he hit 98 mph in a pre-draft All-Star game, at which point the Braves felt comfortable overpaying him in the 13th round for $547,500. He hit 99 mph in his pro debut and, similar to Victor Vodnik, will also flash a plus breaking ball at times with the newfound arm speed. He's likely limited to short stints given his build, and the command hasn't been quite dialed in since the velo bump.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""43.9""","""51.7""",,"""|""",1.0000,,,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,,,35,55,40,50,,,,45,60,45,60,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
725,756,926,251,"""41.2""","""40.9""","""37.0""","""52.1""","""43.9""","""52.8""","""|""","""Ryan""","""Zeferjahn""",2020,"""22.3""","""RHP""","""R""","""R""","""76""","""216""","""professional""",148,4,"""|""",1753,666171,"""zeferjahn_ryan""",,"""sa3011217""","""|""",,,29,,"""Kansas""","""A-""",,"""BOS""",,,,,2022,37,,,"""Zeferjahn emerged as a Kansas power prep righty in a class with Riley Pint and Joey Wentz, but wasn't consistent enough in the spring to have his price met. He was mostly the same at Kansas and went in the third round last summer as a power arm with a standout fastball and above average breaker. His delivery and command are still a work in progress, and one Red Sox source called him a ball of clay, with seventh or eighth inning reliever the most likely outcome.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""43.9""","""52.8""",,"""|""",0.7500,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2300,2250,35,55,40,,50,,,45,60,50,,60,,,"""|""",,,,,,"""|""",,,,,,,,,,,
