player_name,teams,end_year,start_year,years,ip,k_9,bb_9,k_bb,hr_9,FIP,park_FIP,FIP_minus,FIP_WAR,ERA,park_ERA,ERA_minus,ERA_WAR
Chris Spurling,ATL,2007,2005,3,234.9,3.94,2.41,1.69,1.38,5.227,5.244,115.46,-1.31,4.137,4.151,91.17,1.66
Chris Stratton,Bal,2019,2016,3,265.0,6.32,4.14,1.52,1.39,5.256,5.221,135.21,-2.33,5.571,5.534,143.45,-3.22
Chris Tillman,Mia,2017,2013,5,910.9,7.38,2.94,2.56,1.07,4.096,4.083,108.04,5.01,4.109,4.095,108.33,5.07
Chris Withrow,Oak,2016,2014,3,145.3,9.48,4.71,2.07,0.93,4.019,4.019,106.68,-0.07,2.849,2.849,75.57,2.17
Chris Young,Cin/KC/SDP/CLV/Bal,2017,2005,9,1739.1,7.59,3.57,2.14,1.15,4.444,4.430,105.75,11.76,4.601,4.585,108.82,9.24
Christian Friedrich,SF,2018,2017,2,128.0,7.87,3.73,2.17,1.20,4.422,4.528,118.34,-0.28,4.432,4.538,118.78,-0.23
Christian Garcia,StL,2015,2013,3,185.7,8.63,3.05,2.89,1.26,4.121,4.149,108.09,-0.24,4.896,4.929,128.25,-2.06
Christopher Cody,MIL,2010,2010,1,123.7,5.75,2.26,2.55,1.31,4.587,4.542,106.52,0.74,4.000,3.960,92.88,1.59
Christopher Volstad,TEX,2010,2009,2,358.3,5.00,3.54,1.41,1.03,4.825,4.731,110.35,1.48,4.748,4.655,108.59,1.79
Chuck James,Ari/PIT/CLV/KCR/ATL/Cle,2012,2005,8,748.7,7.79,3.47,2.33,1.30,4.615,4.629,103.94,5.00,4.641,4.657,104.22,5.19
Chuckie Fick,KC,2012,2012,1,67.0,8.19,3.90,2.10,1.21,4.545,4.530,111.51,-0.22,4.300,4.286,105.50,-0.01
Cla Meredith,NYY/NYA,2011,2005,6,402.7,5.28,2.66,2.59,0.92,4.343,4.300,99.23,1.22,4.336,4.293,99.55,1.23
Claudio Vargas,DET/SF/SFG/Bos,2010,2005,5,664.7,5.88,3.40,2.26,1.35,5.091,5.081,114.57,1.25,5.187,5.171,116.22,0.78
Clay Buchholz,SF/Ari/ChA/TOR,2019,2008,12,2276.3,7.11,2.83,2.61,0.87,3.847,3.848,98.19,23.47,3.376,3.382,86.27,38.06
Clay Condrey,SD,2010,2009,2,204.7,4.62,3.03,1.57,1.01,4.731,4.828,112.35,-0.77,4.048,4.130,96.17,0.93
Clay Hensley,NYA/CWS/MIL/CLV/ChA,2014,2005,8,911.3,5.34,3.38,1.60,1.01,4.690,4.642,108.70,2.36,4.298,4.254,99.86,6.61
